Similarity,Associated
0.6593,NO
0.2941,NO
0.3369,NO
0.6773,NO
0.4224,NO
0.1812,NO
0.0768,NO
1.0,YES
0.7077,NO
1.0,YES
0.2846,NO
0.2749,NO
0.2839,NO
0.2453,NO
0.5133,NO
0.2179,NO
0.1949,NO
0.2508,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2054,NO
0.2194,NO
0.3233,NO
1.0,YES
0.7438,YES
0.7667,YES
1.0,YES
0.3986,NO
0.2018,NO
1.0,YES
0.2963,NO
1.0,YES
0.196,NO
0.5579,NO
0.4246,NO
0.3473,NO
0.2557,NO
1.0,YES
0.2282,NO
1.0,YES
0.2194,NO
0.4963,YES
0.7244,NO
0.4261,NO
0.7244,NO
0.7244,NO
1.0,YES
0.7244,NO
1.0,YES
0.2097,NO
0.3233,NO
1.0,YES
0.2599,NO
0.2599,NO
1.0,YES
0.3772,NO
0.134,NO
1.0,YES
0.2078,NO
0.8915,YES
0.1374,NO
0.2972,NO
0.292,NO
0.2007,NO
0.0805,NO
0.5205,NO
0.0691,NO
0.537,NO
0.1092,NO
0.3889,NO
0.5079,NO
0.2987,NO
0.5079,NO
0.5079,NO
0.8926,YES
0.5079,NO
1.0,YES
0.1709,NO
0.2418,NO
0.982,YES
0.9216,YES
1.0,YES
0.8593,YES
0.3708,NO
0.1187,NO
0.8593,YES
0.6271,NO
0.8193,YES
0.6271,NO
0.4794,NO
0.3373,NO
0.2984,NO
0.2307,NO
1.0,YES
0.205,NO
1.0,YES
0.1573,NO
1.0,YES
0.8778,NO
0.6351,NO
0.8778,NO
0.8778,NO
0.982,YES
0.8778,NO
0.8593,YES
0.1585,NO
0.2596,NO
1.0,YES
0.2517,NO
0.6479,NO
1.0,YES
0.3184,NO
0.1381,NO
1.0,YES
0.0602,NO
1.0,YES
0.0602,NO
0.5579,NO
0.2454,NO
0.3473,NO
0.2042,NO
0.6479,NO
0.1823,NO
0.6479,NO
0.1206,NO
0.4729,NO
0.1567,NO
0.1483,NO
0.5872,NO
0.3738,NO
0.658,YES
0.5692,NO
1.0,YES
0.2091,NO
0.2203,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.2203,NO
0.5022,YES
0.4207,NO
0.6283,YES
0.4207,NO
0.7016,NO
0.7016,NO
0.7016,NO
0.2203,NO
1.0,YES
0.2203,NO
1.0,YES
0.2667,NO
1.0,YES
0.2878,NO
0.3721,NO
0.5265,NO
0.4207,NO
1.0,YES
0.4619,NO
0.5859,YES
1.0,YES
0.9109,YES
0.4952,NO
0.3683,NO
0.3796,NO
0.3748,NO
0.9109,YES
1.0,YES
0.3988,NO
0.4076,NO
0.3988,NO
0.4076,NO
0.6218,NO
0.6005,NO
0.6202,NO
0.9109,YES
0.4952,NO
1.0,YES
0.4952,NO
1.0,YES
0.2458,NO
0.2112,NO
0.2427,NO
0.2607,NO
0.4076,NO
0.4952,NO
0.4076,NO
0.409,NO
0.1947,NO
0.3044,NO
1.0,YES
0.4247,YES
0.4378,YES
1.0,YES
0.3986,NO
0.1381,NO
1.0,YES
0.1977,NO
1.0,YES
0.1361,NO
0.5579,NO
0.5147,NO
0.5147,NO
0.2557,NO
0.571,YES
0.2282,NO
0.571,YES
0.1957,NO
0.3611,YES
0.4834,NO
0.2843,NO
0.5872,NO
0.4834,NO
1.0,YES
0.6789,NO
1.0,YES
0.2339,NO
0.2596,NO
1.0,YES
0.7438,YES
0.7667,YES
1.0,YES
0.3986,NO
0.2339,NO
1.0,YES
0.6074,NO
1.0,YES
0.4814,NO
0.5579,NO
0.3659,NO
0.3659,NO
0.2557,NO
1.0,YES
0.2339,NO
1.0,YES
0.2339,NO
0.4963,YES
0.7974,NO
0.6074,NO
0.7974,NO
0.7974,NO
1.0,YES
0.7974,NO
1.0,YES
0.162,NO
0.2497,NO
1.0,YES
0.7438,YES
0.7667,YES
1.0,YES
0.3986,NO
0.1237,NO
1.0,YES
0.4412,NO
1.0,YES
0.2811,NO
0.4503,NO
0.2193,NO
0.2803,NO
0.2557,NO
1.0,YES
0.2282,NO
1.0,YES
0.1237,NO
0.4963,YES
0.4261,NO
0.4673,NO
0.5872,NO
0.3738,NO
1.0,YES
0.6789,NO
1.0,YES
0.2097,NO
0.3233,NO
1.0,YES
0.4235,YES
0.4724,YES
1.0,YES
0.3986,NO
0.1381,NO
1.0,YES
0.2242,NO
1.0,YES
0.1429,NO
0.5579,NO
0.438,NO
0.438,NO
0.2557,NO
0.5693,YES
0.2282,NO
0.5693,YES
0.1665,NO
0.3889,YES
0.4433,NO
0.2608,NO
0.5872,NO
0.4433,NO
1.0,YES
0.6789,NO
1.0,YES
0.1709,NO
0.1238,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.1139,NO
0.5022,YES
0.2819,NO
0.6283,YES
0.166,NO
0.2021,NO
0.3152,NO
0.2646,NO
0.1238,NO
1.0,YES
0.1238,NO
1.0,YES
0.1238,NO
1.0,YES
0.318,NO
0.3721,NO
0.5265,NO
0.2304,NO
1.0,YES
0.4619,NO
0.5859,YES
0.1709,NO
0.1633,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.0695,NO
0.5615,YES
0.2484,NO
0.6283,YES
0.166,NO
0.2807,NO
0.3152,NO
0.2347,NO
0.1436,NO
1.0,YES
0.1281,NO
1.0,YES
0.0531,NO
1.0,YES
0.4027,NO
0.3721,NO
0.5265,NO
0.4027,NO
1.0,YES
0.4619,NO
0.5859,YES
0.2025,NO
0.2147,NO
0.4344,NO
0.3027,NO
0.256,NO
0.4344,NO
0.3632,NO
0.0606,NO
0.4344,NO
0.3073,NO
0.4141,NO
0.3073,NO
1.0,YES
0.9658,YES
0.9975,YES
0.0967,NO
0.3169,NO
0.0895,NO
0.3169,NO
0.3543,NO
0.3169,NO
0.2128,NO
0.2128,NO
0.2488,NO
0.3073,NO
0.3494,NO
0.3073,NO
0.6577,NO
0.4171,YES
1.0,YES
0.1763,NO
0.1742,NO
0.1527,NO
0.1656,NO
1.0,YES
1.0,YES
0.1763,NO
0.0419,NO
0.1763,NO
0.0422,NO
0.2981,NO
0.2981,NO
0.2981,NO
1.0,YES
0.189,NO
1.0,YES
0.189,NO
1.0,YES
0.189,NO
0.1024,NO
0.0603,NO
0.1024,NO
0.1024,NO
0.1763,NO
0.1024,NO
0.1919,NO
0.1584,NO
0.0574,NO
0.7752,YES
1.0,YES
1.0,YES
0.5308,YES
0.2382,NO
0.051,NO
0.3893,YES
0.3019,NO
0.5679,YES
0.1539,NO
0.1566,NO
0.2922,NO
0.2833,NO
0.1146,NO
1.0,YES
0.0554,NO
1.0,YES
0.0554,NO
1.0,YES
0.3405,NO
0.2885,NO
0.4081,NO
0.2464,NO
0.7752,YES
0.4518,NO
0.4541,YES
1.0,YES
1.0,YES
0.3075,NO
0.2287,NO
0.2357,NO
0.2105,NO
1.0,YES
1.0,YES
0.1605,NO
0.2506,NO
0.1932,NO
0.2506,NO
0.3324,NO
0.3324,NO
0.3324,NO
1.0,YES
0.3075,NO
1.0,YES
0.3075,NO
1.0,YES
0.1526,NO
0.2094,NO
0.1492,NO
0.2094,NO
0.2506,NO
0.3075,NO
0.2506,NO
0.214,NO
0.2411,NO
0.3133,NO
0.1901,NO
0.3895,NO
0.3369,NO
0.3464,NO
0.2344,NO
0.2411,NO
0.0931,NO
1.0,YES
0.3591,NO
1.0,YES
0.1236,NO
0.2085,NO
0.1275,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.1949,NO
0.2508,NO
0.2752,NO
1.0,YES
1.0,YES
0.9091,YES
1.0,YES
0.1192,NO
1.0,YES
0.2054,NO
1.0,YES
1.0,YES
0.2037,NO
0.2282,NO
0.2282,NO
0.0909,NO
1.0,YES
1.0,YES
0.0909,NO
0.1431,NO
0.081,NO
0.0746,NO
0.2636,NO
0.2546,NO
0.263,NO
1.0,YES
0.1972,NO
1.0,YES
0.1897,NO
1.0,YES
0.2282,NO
0.1431,NO
0.1431,NO
0.1102,NO
0.1431,NO
0.0811,NO
0.1431,NO
0.1734,NO
0.263,NO
0.3133,NO
0.6593,NO
0.3895,NO
0.3369,NO
0.6773,NO
0.4224,NO
0.2677,NO
0.2215,NO
1.0,YES
0.7077,NO
1.0,YES
0.3884,NO
0.3751,NO
0.3874,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.2254,NO
0.2677,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2554,NO
